timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1602584047980,1660,HTTP Request,200,OK,Grupa wątków 1-16,text,true,,321325,428,50,50,https://localhost:5001/ExchangeRate/GetFromDates/,1065,0,0
1602584048163,1477,HTTP Request,200,OK,Grupa wątków 1-25,text,true,,321325,428,50,50,https://localhost:5001/ExchangeRate/GetFromDates/,1005,0,0
1602584048147,1500,HTTP Request,200,OK,Grupa wątków 1-19,text,true,,321325,428,50,50,https://localhost:5001/ExchangeRate/GetFromDates/,1107,0,0
1602584048656,1003,HTTP Request,200,OK,Grupa wątków 1-31,text,true,,321325,428,50,50,https://localhost:5001/ExchangeRate/GetFromDates/,734,0,0
1602584048679,989,HTTP Request,200,OK,Grupa wątków 1-7,text,true,,321325,428,50,50,https://localhost:5001/ExchangeRate/GetFromDates/,959,0,0
1602584049019,658,HTTP Request,200,OK,Grupa wątków 1-1,text,true,,321325,428,50,50,https://localhost:5001/ExchangeRate/GetFromDates/,644,0,0
1602584048966,713,HTTP Request,200,OK,Grupa wątków 1-41,text,true,,321325,428,50,50,https://localhost:5001/ExchangeRate/GetFromDates/,646,0,0
1602584048817,871,HTTP Request,200,OK,Grupa wątków 1-2,text,true,,321325,428,50,50,https://localhost:5001/ExchangeRate/GetFromDates/,853,0,0
1602584048682,1009,HTTP Request,200,OK,Grupa wątków 1-46,text,true,,321325,428,50,50,https://localhost:5001/ExchangeRate/GetFromDates/,996,0,0
1602584049039,662,HTTP Request,200,OK,Grupa wątków 1-29,text,true,,321325,428,50,50,https://localhost:5001/ExchangeRate/GetFromDates/,648,0,0
1602584049017,702,HTTP Request,200,OK,Grupa wątków 1-12,text,true,,321325,428,50,50,https://localhost:5001/ExchangeRate/GetFromDates/,690,0,0
1602584048975,898,HTTP Request,200,OK,Grupa wątków 1-49,text,true,,321325,428,50,50,https://localhost:5001/ExchangeRate/GetFromDates/,614,0,0
1602584049038,850,HTTP Request,200,OK,Grupa wątków 1-34,text,true,,321325,428,50,50,https://localhost:5001/ExchangeRate/GetFromDates/,683,0,0
1602584049132,796,HTTP Request,200,OK,Grupa wątków 1-28,text,true,,321325,428,50,50,https://localhost:5001/ExchangeRate/GetFromDates/,734,0,0
1602584049100,832,HTTP Request,200,OK,Grupa wątków 1-45,text,true,,321325,428,50,50,https://localhost:5001/ExchangeRate/GetFromDates/,625,0,0
1602584049105,836,HTTP Request,200,OK,Grupa wątków 1-8,text,true,,321325,428,50,50,https://localhost:5001/ExchangeRate/GetFromDates/,768,0,0
1602584048163,1812,HTTP Request,200,OK,Grupa wątków 1-6,text,true,,321325,428,50,50,https://localhost:5001/ExchangeRate/GetFromDates/,1499,0,0
1602584048724,1294,HTTP Request,200,OK,Grupa wątków 1-37,text,true,,321325,428,50,50,https://localhost:5001/ExchangeRate/GetFromDates/,1132,0,0
1602584049097,953,HTTP Request,200,OK,Grupa wątków 1-48,text,true,,321325,428,50,50,https://localhost:5001/ExchangeRate/GetFromDates/,721,0,0
1602584049088,994,HTTP Request,200,OK,Grupa wątków 1-15,text,true,,321325,428,50,50,https://localhost:5001/ExchangeRate/GetFromDates/,732,0,0
1602584048659,1430,HTTP Request,200,OK,Grupa wątków 1-47,text,true,,321325,428,50,50,https://localhost:5001/ExchangeRate/GetFromDates/,1159,0,0
1602584049023,1083,HTTP Request,200,OK,Grupa wątków 1-33,text,true,,321325,428,50,50,https://localhost:5001/ExchangeRate/GetFromDates/,825,0,0
1602584049141,989,HTTP Request,200,OK,Grupa wątków 1-21,text,true,,321325,428,50,50,https://localhost:5001/ExchangeRate/GetFromDates/,677,0,0
1602584049073,1063,HTTP Request,200,OK,Grupa wątków 1-24,text,true,,321325,428,50,50,https://localhost:5001/ExchangeRate/GetFromDates/,779,0,0
